ID,Usuario,CUIL_Cliente,Fecha,Caso,Descripción,Estado,Prioridad,Tipo de Riesgo,Canal de Detección,Monto Sospechoso (ARS),Observaciones
1,analista2,41628775099,2022-06-01,CASO-00001,Qui aperiam quidem atque nihil.,Pendiente,Baja,Dispositivo Nuevo,Banca Web,804312,Doloribus maxime quam.
2,analista3,87356116552,2022-06-16,CASO-00002,Magnam nostrum corrupti ullam sint.,En revisión,Baja,Dispositivo Nuevo,Web Corporativa,145228,Fugit culpa hic in.
3,analista3,59743648027,2022-06-18,CASO-00003,Inventore tempora dolore sit labore error.,Finalizado,Alta,Acceso Ilegítimo,Correo Electrónico,436093,Quas architecto a.
4,analista1,58051448024,2022-06-18,CASO-00004,Deleniti dignissimos blanditiis eveniet.,Pendiente,Media,Dispositivo Nuevo,Correo Electrónico,744637,Sint atque quisquam cum.
5,analista3,48165103229,2022-06-07,CASO-00005,Vitae molestias in eos deleniti delectus.,En revisión,Alta,Transaccional,App Móvil,1036477,Suscipit rerum sint voluptas.
6,analista1,59978381945,2022-06-13,CASO-00006,Eum mollitia distinctio excepturi.,Pendiente,Media,Transaccional,Correo Electrónico,121323,Fugit fugit eos officia.
7,analista2,68614127830,2022-06-13,CASO-00007,Nihil quae similique id eligendi.,Pendiente,Baja,Ingeniería Social,Web Corporativa,885017,Porro at atque.
8,analista3,92708081178,2022-06-08,CASO-00008,Quidem reprehenderit deleniti placeat.,Pendiente,Media,Dispositivo Nuevo,Web Corporativa,358863,Dignissimos a ab.
9,analista2,25289293784,2022-06-07,CASO-00009,Pariatur facilis aspernatur.,Pendiente,Media,Dispositivo Nuevo,Banca Web,733141,Corrupti similique sit.
10,analista1,85293714508,2022-06-28,CASO-00010,Cupiditate exercitationem aut consequatur tempore eligendi.,En revisión,Alta,Dispositivo Nuevo,Web Corporativa,785561,Vero expedita aut.
11,analista3,87704576566,2022-06-28,CASO-00011,Amet quisquam eius.,En revisión,Media,Transaccional,Correo Electrónico,131638,Soluta voluptatum sed.
12,analista1,96756783643,2022-06-15,CASO-00012,Possimus alias inventore.,Finalizado,Baja,Transaccional,App Móvil,598011,Eos minus laborum cum.
13,analista1,2405670237,2022-06-04,CASO-00013,Dolores odit enim.,Finalizado,Baja,Acceso Ilegítimo,Banca Web,1112436,Dolorum tenetur harum in vel.
14,analista1,18018881687,2022-06-02,CASO-00014,Amet laborum at sit.,Pendiente,Media,Dispositivo Nuevo,Correo Electrónico,697169,Vel ullam nam odio earum est.
15,analista2,73793974632,2022-06-26,CASO-00015,Placeat deleniti odio dolor magni nihil.,En revisión,Baja,Ingeniería Social,Web Corporativa,172532,Porro repellat cum.
16,analista2,76483148935,2022-06-13,CASO-00016,Id iusto consequatur laborum aliquam expedita.,En revisión,Alta,Transaccional,Banca Web,407161,Nemo harum error magni unde.
17,analista3,75463449697,2022-06-03,CASO-00017,Vel saepe veniam rem dolorum iusto.,En revisión,Baja,Ingeniería Social,Banca Web,998946,Minus quo accusantium cumque.
18,analista2,18867945713,2022-06-14,CASO-00018,Ducimus veniam cum libero.,En revisión,Media,Ingeniería Social,App Móvil,758203,Expedita sit animi itaque.
19,analista2,48593990285,2022-06-05,CASO-00019,Illum quo nostrum aut.,En revisión,Alta,Ingeniería Social,Web Corporativa,1121911,Officia ducimus quidem quae.
20,analista2,83388737900,2022-06-17,CASO-00020,Quae eum nostrum ex.,Finalizado,Media,Dispositivo Nuevo,Banca Web,515739,Ut ipsam sint.
21,analista2,91860420653,2022-06-08,CASO-00021,Eos animi animi.,Pendiente,Alta,Transaccional,App Móvil,731404,Tempora ex corporis in.
22,analista1,66746926297,2022-06-13,CASO-00022,Repellendus quibusdam qui explicabo eaque nostrum.,En revisión,Media,Acceso Ilegítimo,Correo Electrónico,1028227,Unde architecto quasi beatae.
23,analista2,41642611561,2022-06-11,CASO-00023,Harum voluptates placeat quis sit.,Pendiente,Media,Dispositivo Nuevo,App Móvil,295044,Dolorem officia est mollitia.
24,analista2,37030388158,2022-06-15,CASO-00024,Libero fugit accusantium aperiam repellat.,En revisión,Alta,Transaccional,Correo Electrónico,1116785,Autem amet ullam velit.
25,analista1,16674773752,2022-06-06,CASO-00025,Impedit quidem cupiditate.,En revisión,Baja,Ingeniería Social,Web Corporativa,1012756,Id suscipit labore tempora.
26,analista3,26025475021,2022-06-26,CASO-00026,Eveniet minima harum.,Pendiente,Media,Acceso Ilegítimo,Banca Web,958957,Quia laboriosam magni.
27,analista2,97225942185,2022-06-20,CASO-00027,Ex in eveniet doloremque blanditiis.,En revisión,Baja,Dispositivo Nuevo,Web Corporativa,664713,Fugiat eligendi alias odio.
28,analista2,54005056581,2022-06-04,CASO-00028,Praesentium et odio facilis.,Pendiente,Baja,Acceso Ilegítimo,App Móvil,112131,Corporis atque excepturi qui.
29,analista2,21765310613,2022-06-12,CASO-00029,Aperiam illo vero laboriosam.,Pendiente,Alta,Acceso Ilegítimo,Banca Web,780133,Molestias quaerat laboriosam.
30,analista3,27177227926,2022-06-22,CASO-00030,Quia nostrum ullam qui modi.,Pendiente,Baja,Acceso Ilegítimo,App Móvil,535412,Esse ad voluptatem aut quam.
31,analista2,96709669746,2022-07-23,CASO-00031,Molestias esse voluptatem autem possimus quas.,En revisión,Media,Transaccional,Banca Web,409645,Quos aspernatur quam in.
32,analista3,37415186165,2022-07-05,CASO-00032,Quisquam distinctio dolores et aliquam.,Finalizado,Media,Transaccional,App Móvil,529735,Laborum nostrum dignissimos.
33,analista3,69985449490,2022-07-28,CASO-00033,Culpa quis dignissimos illo.,Pendiente,Alta,Acceso Ilegítimo,App Móvil,850737,Ullam deserunt vitae facere.
34,analista3,40438235057,2022-07-04,CASO-00034,Quod voluptate amet nulla impedit.,Pendiente,Alta,Transaccional,App Móvil,742736,Accusamus occaecati quo.
35,analista2,55592353493,2022-07-19,CASO-00035,Qui harum facilis necessitatibus.,En revisión,Baja,Acceso Ilegítimo,Banca Web,972653,Laborum facere vel corrupti.
36,analista1,91366557061,2022-07-19,CASO-00036,Laboriosam maiores fugiat temporibus.,Pendiente,Baja,Transaccional,Correo Electrónico,916161,Quidem labore repellat rem.
37,analista2,47309167546,2022-07-27,CASO-00037,Nesciunt maxime dolor saepe facere blanditiis.,Finalizado,Media,Dispositivo Nuevo,Web Corporativa,694653,Reprehenderit iusto quis et.
38,analista3,31368507545,2022-07-09,CASO-00038,Ab molestiae necessitatibus eligendi minima tenetur.,Finalizado,Media,Transaccional,Correo Electrónico,702460,Cum voluptate ad optio.
39,analista1,15172917921,2022-07-27,CASO-00039,Id corrupti soluta.,Finalizado,Alta,Acceso Ilegítimo,Correo Electrónico,901013,Ea exercitationem voluptas.
40,analista2,85498057799,2022-07-04,CASO-00040,Saepe impedit recusandae voluptatibus reiciendis molestiae.,En revisión,Baja,Ingeniería Social,App Móvil,880515,Magni quod quisquam.
41,analista1,34861696899,2022-07-10,CASO-00041,Perferendis deleniti quis.,En revisión,Media,Dispositivo Nuevo,Banca Web,237119,Totam rem blanditiis ipsam.
42,analista3,40142601830,2022-07-07,CASO-00042,Iste occaecati necessitatibus eligendi.,Pendiente,Alta,Transaccional,Correo Electrónico,319421,Non vero harum rem.
43,analista1,79924840000,2022-07-19,CASO-00043,Qui cupiditate facere assumenda.,Pendiente,Alta,Transaccional,Correo Electrónico,221917,Ipsa molestiae explicabo.
44,analista1,11331753252,2022-07-02,CASO-00044,Delectus ad quia id at soluta.,Finalizado,Baja,Ingeniería Social,Web Corporativa,145813,Labore aperiam cumque.
45,analista3,56791936783,2022-07-15,CASO-00045,Earum illo architecto.,Finalizado,Alta,Ingeniería Social,Web Corporativa,497250,Numquam a placeat tempore.
46,analista2,14504279939,2022-07-28,CASO-00046,Repellendus recusandae dignissimos atque.,Finalizado,Baja,Transaccional,App Móvil,187500,Nihil maiores laudantium vel.
47,analista1,46641442130,2022-07-08,CASO-00047,Tempore officia maxime ducimus assumenda.,Finalizado,Baja,Acceso Ilegítimo,App Móvil,1175351,Voluptatum enim eum quae.
48,analista2,16478361051,2022-07-09,CASO-00048,Aliquid explicabo quam ipsam vero incidunt.,Pendiente,Alta,Transaccional,App Móvil,1030650,Sequi qui enim facere quis.
49,analista2,99148993841,2022-07-16,CASO-00049,Neque hic quam saepe animi ea.,En revisión,Media,Transaccional,App Móvil,632561,Minus hic cupiditate eos.
50,analista1,29284439463,2022-07-03,CASO-00050,Animi earum quam voluptatibus odit non.,Finalizado,Baja,Transaccional,Banca Web,333341,Ducimus sed sequi corrupti.
51,analista2,744030953,2022-07-11,CASO-00051,Tempora non est facere maiores.,Pendiente,Baja,Acceso Ilegítimo,App Móvil,649173,Quos iusto inventore eos.
52,analista2,85889251959,2022-07-22,CASO-00052,Explicabo qui voluptas.,En revisión,Baja,Ingeniería Social,Web Corporativa,885742,Rerum officiis maxime enim.
53,analista2,62289428521,2022-07-11,CASO-00053,Vel explicabo fuga consequuntur deserunt.,Pendiente,Media,Transaccional,App Móvil,116526,Hic repellat repudiandae.
54,analista2,99441132569,2022-07-08,CASO-00054,Expedita dolorum et.,En revisión,Media,Ingeniería Social,Banca Web,291405,Nisi ipsum ducimus nesciunt.
55,analista1,24708262497,2022-07-17,CASO-00055,Neque voluptas pariatur.,Finalizado,Baja,Ingeniería Social,Correo Electrónico,427320,Placeat id praesentium culpa.
56,analista3,92073607477,2022-07-08,CASO-00056,Rem tempora vero.,Finalizado,Baja,Transaccional,Banca Web,961032,Veritatis sequi maxime ipsam.
57,analista3,22527216151,2022-07-07,CASO-00057,Sunt tempora non natus.,Finalizado,Baja,Transaccional,Web Corporativa,250188,Ad incidunt labore dolores.
58,analista2,43459428148,2022-07-24,CASO-00058,Vel voluptatum aut laborum quae doloremque.,En revisión,Media,Ingeniería Social,Banca Web,1128508,Nostrum tempore odio sunt.
59,analista2,17187595066,2022-07-12,CASO-00059,Consequuntur et ipsam tenetur.,Finalizado,Media,Transaccional,Web Corporativa,558228,Cumque id labore in.
60,analista3,43490505900,2022-07-18,CASO-00060,Amet odit unde natus.,En revisión,Media,Transaccional,App Móvil,402804,In dolores at.
61,analista1,3688810235,2022-07-09,CASO-00061,Commodi hic recusandae.,Pendiente,Media,Transaccional,Correo Electrónico,66909,Maxime at in.
62,analista1,14978451352,2022-07-04,CASO-00062,Iusto aperiam libero qui.,En revisión,Baja,Ingeniería Social,Banca Web,533874,Error nisi quaerat.
63,analista3,59861574097,2022-07-25,CASO-00063,Culpa aliquid nihil voluptatibus placeat minus.,Finalizado,Media,Acceso Ilegítimo,Web Corporativa,381063,Deserunt ipsa porro eligendi.
64,analista2,32788558867,2022-07-05,CASO-00064,Commodi sint facilis commodi eum necessitatibus.,Pendiente,Alta,Ingeniería Social,Web Corporativa,940352,Minima nulla unde quasi.
65,analista2,74897557948,2022-08-26,CASO-00065,Nostrum neque minima numquam incidunt.,En revisión,Baja,Transaccional,App Móvil,737558,Qui hic molestias beatae.
66,analista1,61270912723,2022-08-03,CASO-00066,Libero modi voluptatum.,Finalizado,Baja,Ingeniería Social,Banca Web,720506,Ipsum repellat dolorum.
67,analista3,91064782977,2022-08-03,CASO-00067,Est nostrum quaerat officiis deserunt reprehenderit.,Pendiente,Alta,Transaccional,Banca Web,182463,Harum ex adipisci labore.
68,analista2,11001258484,2022-08-08,CASO-00068,Maxime possimus facere molestiae.,En revisión,Media,Ingeniería Social,App Móvil,482927,Dolores ea veritatis.
69,analista1,88517139771,2022-08-27,CASO-00069,Nostrum eveniet ducimus.,Finalizado,Alta,Acceso Ilegítimo,App Móvil,319750,Ab ratione sit iure.
70,analista1,73070978031,2022-08-02,CASO-00070,Earum eum veniam impedit commodi.,En revisión,Media,Ingeniería Social,App Móvil,72632,Tenetur dolorum hic.
71,analista3,53951126502,2022-08-14,CASO-00071,Fugit accusamus quisquam quasi.,Pendiente,Baja,Acceso Ilegítimo,Correo Electrónico,1174878,Explicabo architecto omnis.
72,analista2,13999260730,2022-08-07,CASO-00072,Totam repudiandae voluptates mollitia.,Pendiente,Alta,Ingeniería Social,Correo Electrónico,333864,Et delectus reiciendis quasi.
73,analista1,42067977948,2022-08-28,CASO-00073,Consectetur omnis cum nam.,Pendiente,Media,Ingeniería Social,Correo Electrónico,282495,Laborum hic officiis.
74,analista2,67275533542,2022-08-23,CASO-00074,Vitae facilis expedita eaque perspiciatis.,En revisión,Media,Ingeniería Social,Correo Electrónico,260011,Iure optio animi at cum.
75,analista2,26377781858,2022-08-09,CASO-00075,Dicta ex optio quasi.,Finalizado,Media,Acceso Ilegítimo,Correo Electrónico,399005,Ab ab rem aspernatur illum.
76,analista2,91566315080,2022-08-19,CASO-00076,Perferendis at vitae eos ad magni.,En revisión,Baja,Dispositivo Nuevo,App Móvil,446509,Quas inventore enim sequi.
77,analista1,13485654963,2022-08-02,CASO-00077,Nobis ipsum libero officia.,En revisión,Alta,Dispositivo Nuevo,Web Corporativa,521594,Magnam est eius ipsam unde.
78,analista2,14652067248,2022-08-24,CASO-00078,Repellat rem inventore.,Pendiente,Alta,Dispositivo Nuevo,App Móvil,118400,Id autem mollitia eos rem.
79,analista1,34419125987,2022-08-19,CASO-00079,Deserunt nostrum voluptas non distinctio.,Pendiente,Baja,Ingeniería Social,Banca Web,931547,Dolores soluta quas quod aut.
80,analista3,87722715247,2022-08-09,CASO-00080,Ipsa inventore in sequi suscipit sit.,En revisión,Media,Ingeniería Social,App Móvil,77455,Quasi in quia inventore id.
