ID,Usuario,CUIL_Cliente,Fecha,Caso,Descripción,Estado,Prioridad,Tipo de Riesgo,Canal de Detección,Monto Sospechoso (ARS),Observaciones
1,analista2,76305145446,2023-12-24,CASO-00001,Occaecati error id magnam.,En revisión,Media,Dispositivo Nuevo,Correo Electrónico,318861,Sed modi voluptatum eos.
2,analista3,41594505861,2023-12-11,CASO-00002,Velit provident qui sit vitae.,En revisión,Media,Dispositivo Nuevo,App Móvil,493509,Quia ex libero ipsum.
3,analista3,65412523794,2023-12-22,CASO-00003,Ab necessitatibus omnis blanditiis minima.,Pendiente,Media,Dispositivo Nuevo,Web Corporativa,106646,Ullam itaque cupiditate quia.
4,analista2,48701238215,2023-12-15,CASO-00004,Facere reprehenderit ratione perferendis accusantium corporis.,Finalizado,Baja,Dispositivo Nuevo,App Móvil,232869,Est error sunt nam.
5,analista1,82930500746,2023-12-05,CASO-00005,Quisquam nobis temporibus iusto illum ducimus.,En revisión,Alta,Ingeniería Social,Web Corporativa,304107,Animi accusamus alias.
6,analista3,01690574343,2023-12-28,CASO-00006,Numquam cupiditate ducimus sed molestiae.,En revisión,Baja,Transaccional,App Móvil,365564,Illum vitae eum repellendus.
7,analista2,33976614321,2023-12-08,CASO-00007,Culpa eius adipisci.,Pendiente,Media,Acceso Ilegítimo,Correo Electrónico,307089,Dolore id ullam aut et.
8,analista3,51518951940,2023-12-24,CASO-00008,Iure velit iusto quos sunt fugit.,Pendiente,Alta,Acceso Ilegítimo,Banca Web,442785,Cum delectus consequatur.
9,analista1,89175648518,2023-12-21,CASO-00009,Repellat ducimus ex animi placeat.,Pendiente,Baja,Ingeniería Social,Correo Electrónico,310024,Modi error dolorum at id id.
10,analista2,08300361199,2023-12-19,CASO-00010,Sed odio cum distinctio.,En revisión,Media,Dispositivo Nuevo,Banca Web,444784,Officia aspernatur ipsa.
11,analista3,75644383706,2023-12-15,CASO-00011,Suscipit a minus maxime illo tenetur.,En revisión,Baja,Transaccional,Web Corporativa,118437,Officia esse ex.
12,analista2,40872933840,2023-12-02,CASO-00012,Dolore minus quam.,En revisión,Media,Ingeniería Social,Correo Electrónico,152092,Enim ullam fugit quaerat.
13,analista1,81022487521,2023-12-11,CASO-00013,Ipsa vitae aspernatur.,Pendiente,Media,Acceso Ilegítimo,Web Corporativa,376043,Tempora autem ipsam.
14,analista1,06603911466,2023-12-09,CASO-00014,Aut officia dignissimos a.,Finalizado,Baja,Acceso Ilegítimo,Banca Web,376678,Culpa debitis nihil ex.
15,analista1,90105775024,2023-12-23,CASO-00015,Voluptatem sint veniam corrupti tempore architecto.,Finalizado,Alta,Transaccional,Web Corporativa,187834,Molestiae illum debitis quae.
16,analista3,53834867475,2023-12-21,CASO-00016,Occaecati porro modi.,Pendiente,Media,Dispositivo Nuevo,Web Corporativa,364568,Quas aut dolorum.
17,analista3,92466034752,2023-12-04,CASO-00017,Ratione delectus earum neque omnis.,Finalizado,Media,Transaccional,App Móvil,498099,Molestiae debitis occaecati.
18,analista3,92922512618,2023-12-22,CASO-00018,Ipsa sapiente aut.,Finalizado,Alta,Transaccional,Web Corporativa,449379,Qui veniam aut dicta.
19,analista3,66619854977,2023-12-02,CASO-00019,Velit aspernatur nihil ipsum quia.,En revisión,Baja,Transaccional,Correo Electrónico,215361,Corrupti adipisci commodi.
20,analista3,36133221559,2023-12-10,CASO-00020,Itaque exercitationem est laudantium.,Finalizado,Media,Acceso Ilegítimo,App Móvil,97721,Iure aut expedita.
21,analista3,93347563138,2023-12-21,CASO-00021,Debitis architecto perspiciatis veritatis vel.,En revisión,Media,Dispositivo Nuevo,Correo Electrónico,265335,Maxime hic autem molestiae.
22,analista2,81521679716,2023-12-07,CASO-00022,Labore provident aut quia corrupti.,Pendiente,Media,Acceso Ilegítimo,Banca Web,78579,Illum repellat quas beatae.
23,analista3,48783942112,2023-12-15,CASO-00023,Fuga sunt beatae.,En revisión,Baja,Ingeniería Social,Banca Web,389591,Dolor aperiam ut soluta.
24,analista2,61883330860,2023-12-24,CASO-00024,Mollitia saepe quia sed sed optio.,Pendiente,Media,Transaccional,Correo Electrónico,280899,Earum enim est provident.
25,analista3,39183414769,2023-12-25,CASO-00025,Similique officiis occaecati aliquam.,En revisión,Baja,Transaccional,Banca Web,146784,Voluptas modi illum facilis.
26,analista1,23794849396,2024-01-26,CASO-00026,Magnam dolorum repellat.,Pendiente,Baja,Dispositivo Nuevo,App Móvil,446990,Dicta deserunt id nisi alias.
27,analista2,69963307434,2024-01-03,CASO-00027,Perspiciatis numquam officiis temporibus.,En revisión,Baja,Ingeniería Social,Web Corporativa,285879,Magnam assumenda quod vero.
28,analista3,66729099416,2024-01-24,CASO-00028,Quaerat id quas esse assumenda.,Finalizado,Alta,Ingeniería Social,Correo Electrónico,113881,A possimus repellat sit.
29,analista1,27353662731,2024-01-23,CASO-00029,Ullam error ipsam.,En revisión,Baja,Ingeniería Social,Web Corporativa,156994,Iure facilis dicta pariatur.
30,analista3,23004462582,2024-01-13,CASO-00030,Officiis id reprehenderit molestias repellendus exercitationem temporibus.,Finalizado,Alta,Ingeniería Social,App Móvil,380189,Sapiente sed unde in.
31,analista1,94488041321,2024-01-17,CASO-00031,Est excepturi eaque laborum illo velit.,Finalizado,Baja,Acceso Ilegítimo,Correo Electrónico,119139,Recusandae cumque odit.
32,analista1,35970421994,2024-01-28,CASO-00032,Dignissimos porro omnis.,Finalizado,Media,Dispositivo Nuevo,Banca Web,374459,Eos ab natus ullam.
33,analista1,57957668257,2024-01-04,CASO-00033,Ad maxime perspiciatis debitis.,En revisión,Alta,Transaccional,Banca Web,76382,Iste maxime ut iusto et.
34,analista3,22709696268,2024-01-03,CASO-00034,Iusto nostrum incidunt molestiae tempora dolores.,Finalizado,Alta,Dispositivo Nuevo,App Móvil,499897,Ad vitae labore fugit.
35,analista3,06646304070,2024-01-10,CASO-00035,Architecto corporis voluptate ducimus perspiciatis aliquid.,Pendiente,Baja,Transaccional,Web Corporativa,449194,Ea possimus delectus illum.
36,analista3,03001680728,2024-01-21,CASO-00036,Modi consequatur facilis sit tempora eos.,En revisión,Media,Transaccional,Web Corporativa,356776,Accusantium et ullam.
37,analista1,94603475482,2024-01-15,CASO-00037,Iusto molestiae exercitationem.,En revisión,Baja,Acceso Ilegítimo,Correo Electrónico,387971,Quas quibusdam eum totam.
38,analista2,82811492223,2024-01-14,CASO-00038,Quas excepturi praesentium quasi deserunt.,Finalizado,Media,Ingeniería Social,Correo Electrónico,251559,Optio autem eveniet earum.
39,analista2,30039858284,2024-01-05,CASO-00039,Natus impedit laudantium.,En revisión,Alta,Transaccional,Banca Web,144492,Accusantium inventore cumque.
40,analista1,88079352223,2024-01-15,CASO-00040,Architecto excepturi dignissimos mollitia.,Finalizado,Baja,Ingeniería Social,Web Corporativa,404391,Magni perferendis eum sunt.
41,analista1,54322357484,2024-01-22,CASO-00041,Asperiores eveniet nisi amet.,Pendiente,Baja,Ingeniería Social,App Móvil,220888,Quaerat fuga dolore totam.
42,analista2,30394724565,2024-01-15,CASO-00042,Officia doloremque eos.,En revisión,Baja,Transaccional,Web Corporativa,493179,Quo in deserunt.
43,analista1,47831848191,2024-01-26,CASO-00043,Laboriosam corporis veritatis.,Pendiente,Alta,Ingeniería Social,Correo Electrónico,216376,Qui quidem voluptatibus.
44,analista3,70527356810,2024-01-11,CASO-00044,Similique molestias temporibus amet unde aperiam.,Finalizado,Media,Ingeniería Social,Correo Electrónico,259857,Ullam nesciunt ut hic.
45,analista3,82538758091,2024-01-16,CASO-00045,Voluptas sit corporis earum porro cumque.,En revisión,Alta,Dispositivo Nuevo,Banca Web,366565,Voluptatibus soluta optio.
46,analista2,39345909897,2024-01-21,CASO-00046,Maxime dolor iste impedit assumenda.,En revisión,Alta,Acceso Ilegítimo,App Móvil,395136,Iste ut ut ipsum.
47,analista1,05677892093,2024-01-03,CASO-00047,Rerum voluptatem eaque delectus laborum.,Pendiente,Baja,Dispositivo Nuevo,Web Corporativa,212913,Dolorem eos cum veniam.
48,analista1,87447910455,2024-01-23,CASO-00048,Laudantium sit provident harum.,Pendiente,Baja,Transaccional,Correo Electrónico,353868,Eligendi expedita deleniti.
49,analista2,79448169755,2024-01-24,CASO-00049,Quaerat sint expedita nobis sed sequi.,En revisión,Baja,Transaccional,App Móvil,362409,Eius nostrum fugit alias.
50,analista1,62273315887,2024-01-25,CASO-00050,Deleniti aperiam dolores.,Finalizado,Baja,Dispositivo Nuevo,Banca Web,70883,Qui ratione nostrum eum.
51,analista3,09305363425,2024-02-26,CASO-00051,Libero autem minima nam quae sequi.,En revisión,Baja,Transaccional,Web Corporativa,170341,Officia explicabo sint.
52,analista3,41885072817,2024-02-20,CASO-00052,Praesentium corrupti culpa alias.,En revisión,Baja,Transaccional,Web Corporativa,172187,Architecto magnam sit eos.
53,analista1,70071693859,2024-02-17,CASO-00053,Explicabo dolorem ducimus molestias.,Finalizado,Baja,Ingeniería Social,Banca Web,243893,Numquam voluptate fugit.
54,analista3,13722620146,2024-02-07,CASO-00054,Adipisci mollitia dolores.,Finalizado,Media,Dispositivo Nuevo,Banca Web,416571,Illo itaque commodi.
55,analista3,04871675961,2024-02-27,CASO-00055,Blanditiis nam fugit veritatis.,Finalizado,Baja,Dispositivo Nuevo,Correo Electrónico,468895,Dolorum ut expedita quasi.
56,analista1,22126489712,2024-02-03,CASO-00056,Optio minus eaque.,Pendiente,Media,Acceso Ilegítimo,Web Corporativa,317856,Adipisci debitis ut ipsam.
57,analista3,18986603968,2024-02-24,CASO-00057,Veniam minima quos unde ad aliquam.,Finalizado,Media,Transaccional,Web Corporativa,243144,Eum sequi est quos.
58,analista1,33451027059,2024-02-07,CASO-00058,Accusantium quibusdam qui nisi.,En revisión,Media,Dispositivo Nuevo,Web Corporativa,224799,Repudiandae porro ad.
59,analista1,55631999774,2024-02-26,CASO-00059,Earum eius accusantium voluptatibus.,Pendiente,Media,Dispositivo Nuevo,App Móvil,212430,Praesentium animi distinctio.
60,analista1,91659695708,2024-02-18,CASO-00060,Deleniti tempore magnam iusto maxime hic.,En revisión,Media,Ingeniería Social,Banca Web,50466,Distinctio amet quod labore.
61,analista1,33499888995,2024-02-19,CASO-00061,Laboriosam numquam beatae autem.,Finalizado,Alta,Ingeniería Social,Correo Electrónico,183437,Ab ullam minus consequatur.
62,analista3,78859482860,2024-02-24,CASO-00062,Possimus temporibus et dignissimos culpa delectus.,En revisión,Media,Ingeniería Social,Web Corporativa,185477,At dolorum deleniti.
63,analista3,83990430265,2024-02-12,CASO-00063,Culpa aliquam amet est.,Finalizado,Media,Ingeniería Social,Correo Electrónico,460125,Vero saepe sit.
64,analista3,09859998077,2024-02-05,CASO-00064,Ratione explicabo at accusantium.,En revisión,Alta,Transaccional,Web Corporativa,343946,Quas harum eum ex ipsam odio.
65,analista1,89680954985,2024-02-12,CASO-00065,Totam inventore provident provident soluta illo.,Pendiente,Alta,Transaccional,Banca Web,227184,Harum vero veniam.
