Usuario,Caso,CUIL,Fecha,CBU Origen,CBU Destino,Monto,Moneda
analista2,CASO-00001,41628775099,2022-06-03,ES6304747368125665028780,ES2577247954530010199435,750272.99,ARS
analista2,CASO-00001,41628775099,2022-06-02,ES0801878086347457556327,ES2192432193111793545758,757510.61,ARS
analista2,CASO-00001,41628775099,2022-06-01,ES0887444690954255605269,ES1891505315044048517684,549818.19,USD
analista3,CASO-00002,87356116552,2022-06-17,ES3957041241763502554380,ES9783105686837065170164,132812.53,USD
analista3,CASO-00003,59743648027,2022-06-20,ES3095895997415025284398,ES3223953960954897023682,47675.45,USD
analista3,CASO-00003,59743648027,2022-06-18,ES3972616322729834829883,ES8747078710493296996635,97096.4,ARS
analista3,CASO-00003,59743648027,2022-06-19,ES1723473213615892023656,ES5313877644469950751926,177194.87,ARS
analista1,CASO-00004,58051448024,2022-06-20,ES8980630070433131184951,ES2457457833737182132898,46906.64,ARS
analista1,CASO-00004,58051448024,2022-06-20,ES9139994794535268429129,ES7620268732156416442673,302553.23,ARS
analista3,CASO-00005,48165103229,2022-06-09,ES9110393135367915739423,ES0405234138563728461353,671446.24,ARS
analista1,CASO-00006,59978381945,2022-06-14,ES6072652851352927322571,ES3036376245201534614476,115874.33,ARS
analista2,CASO-00007,68614127830,2022-06-14,ES1284466290994377037529,ES6219069265084114795739,580269.48,ARS
analista2,CASO-00007,68614127830,2022-06-14,ES9087028065116064201248,ES7135632431777622865927,207581.0,USD
analista2,CASO-00007,68614127830,2022-06-14,ES4775577441235595171757,ES3341138008580936304725,92638.96,ARS
analista2,CASO-00007,68614127830,2022-06-14,ES2589956445821488683212,ES5854235909927783828909,337784.57,ARS
analista3,CASO-00008,92708081178,2022-06-08,ES0643088604231079699324,ES3017503919021533005458,142043.87,USD
analista2,CASO-00009,25289293784,2022-06-07,ES4931232796706554616345,ES7535812778405342749257,460856.06,USD
analista2,CASO-00009,25289293784,2022-06-07,ES3389792594388922426527,ES5738870038572126624487,693805.71,USD
analista1,CASO-00010,85293714508,2022-06-28,ES6253828631787060649138,ES7197363132690987053060,496498.01,ARS
analista1,CASO-00010,85293714508,2022-06-29,ES9268607644569832327682,ES0519708013098071786921,52866.66,USD
analista3,CASO-00011,87704576566,2022-06-28,ES5161355669131972923224,ES7299684067701779200559,38877.07,ARS
analista3,CASO-00011,87704576566,2022-06-28,ES2828482708920085871607,ES4983385980800478099109,61944.6,USD
analista3,CASO-00011,87704576566,2022-06-29,ES6902876914293253572196,ES5382730949860121641382,72381.26,ARS
analista1,CASO-00012,96756783643,2022-06-17,ES7527610339973377272163,ES0637464866812320317172,85271.18,USD
analista1,CASO-00012,96756783643,2022-06-15,ES6968487414738785166889,ES2767214354330782909049,155291.51,USD
analista1,CASO-00013,02405670237,2022-06-05,ES2909067012175629578691,ES2914197555084934848371,427577.92,ARS
analista1,CASO-00013,02405670237,2022-06-04,ES1683956439457092679146,ES6949606220068472263520,140955.41,USD
analista1,CASO-00013,02405670237,2022-06-04,ES3199466509163607717895,ES8944326890742465311158,522570.31,USD
analista1,CASO-00014,18018881687,2022-06-03,ES5660235178343773536760,ES5755550488356192270848,495935.96,ARS
analista1,CASO-00014,18018881687,2022-06-04,ES6359470151724318013990,ES1332831352482836274106,264850.49,ARS
