Usuario,Caso,CUIL,Fecha,CBU Origen,CBU Destino,Monto,Moneda
analista2,CASO-00001,76305145446,2023-12-26,ES3843521392118043202693,ES9411147742737182888619,52395.69,ARS
analista2,CASO-00001,76305145446,2023-12-25,ES3705896821941430253109,ES1867413762724769926854,139770.11,USD
analista3,CASO-00002,41594505861,2023-12-12,ES1662717153104318136566,ES6405321736261927041413,438826.8,USD
analista3,CASO-00003,65412523794,2023-12-23,ES6562814676459147368928,ES9386055906398862808212,71393.37,ARS
analista3,CASO-00003,65412523794,2023-12-23,ES5648933689276278727856,ES2216260816282881705398,34663.07,USD
analista2,CASO-00004,48701238215,2023-12-15,ES9874280463856607318895,ES1615779547840799347871,107169.45,ARS
analista2,CASO-00004,48701238215,2023-12-15,ES7866723805313635851598,ES6003137475253411459377,189355.53,ARS
analista1,CASO-00005,82930500746,2023-12-05,ES5492785064569669476945,ES1647445395776032659228,59409.14,USD
analista3,CASO-00006,01690574343,2023-12-28,ES1929759321254703386719,ES5810310932753640491399,242872.09,USD
analista3,CASO-00006,01690574343,2023-12-30,ES5778357422330088141403,ES9696172464792559731685,176788.41,USD
analista2,CASO-00007,33976614321,2023-12-10,ES9602397382345307745552,ES8809216418758626530980,70817.74,USD
analista2,CASO-00007,33976614321,2023-12-09,ES0640234191078654284405,ES1357194763445010273001,172169.19,ARS
analista3,CASO-00008,51518951940,2023-12-26,ES1923689565950521545693,ES2892479015914402139718,393132.75,USD
analista3,CASO-00008,51518951940,2023-12-25,ES1399552077267577069452,ES4664182125386105573907,21376.02,ARS
analista1,CASO-00009,89175648518,2023-12-22,ES6955609461711426779104,ES9601972637379015295577,269894.89,USD
analista1,CASO-00009,89175648518,2023-12-23,ES6045449511452669591161,ES5521820078913435737202,108099.44,ARS
analista2,CASO-00010,08300361199,2023-12-20,ES1580289670728577671707,ES5069330013492120130657,393016.99,USD
analista3,CASO-00011,75644383706,2023-12-17,ES6624487731291509169802,ES0428512656724227047157,103104.61,ARS
analista3,CASO-00011,75644383706,2023-12-17,ES3160793053754481515558,ES5229584328456369713863,108329.08,ARS
analista2,CASO-00012,40872933840,2023-12-03,ES8364838113120998912404,ES6986955135014103275315,43183.41,USD
analista2,CASO-00012,40872933840,2023-12-04,ES1547273511767185434164,ES8310598079041329467399,63717.67,USD
analista1,CASO-00013,81022487521,2023-12-12,ES4887751932907971628121,ES2707343778439525583224,348925.54,USD
analista1,CASO-00013,81022487521,2023-12-12,ES6524607937767725243945,ES7020265951149675728821,13078.07,ARS
analista1,CASO-00014,06603911466,2023-12-09,ES6738750892231744708791,ES9363837927623300341745,155086.41,USD
analista1,CASO-00014,06603911466,2023-12-11,ES1334686127308263026649,ES1241613862110298613831,225056.5,ARS
analista1,CASO-00015,90105775024,2023-12-24,ES6535396905322213742504,ES0523468045361966051163,123058.92,USD
analista3,CASO-00016,53834867475,2023-12-21,ES1473632008015463056666,ES8343585107681683361519,208719.67,USD
analista3,CASO-00016,53834867475,2023-12-23,ES5111201612980940972114,ES8812014769190000119154,167372.99,ARS
analista3,CASO-00017,92466034752,2023-12-04,ES1139817862040409615288,ES2455769058185446978309,326401.13,ARS
analista3,CASO-00018,92922512618,2023-12-23,ES6140752380820071720348,ES6745866957864031435818,136991.9,ARS
analista3,CASO-00018,92922512618,2023-12-22,ES8315804063020764853301,ES9879241337987640008044,227855.21,USD
analista3,CASO-00019,66619854977,2023-12-04,ES4856437890489302110286,ES9248600523347712211106,63825.04,ARS
analista3,CASO-00019,66619854977,2023-12-02,ES1815538183869678843694,ES6455263292320033593931,135939.52,USD
analista3,CASO-00020,36133221559,2023-12-10,ES6212083349315004410773,ES1348076066903120684196,12828.15,ARS
analista3,CASO-00020,36133221559,2023-12-11,ES1143498594767456037707,ES2124724958202671119895,67067.68,USD
analista3,CASO-00021,93347563138,2023-12-22,ES6166942987443409840063,ES3961574132107911869469,246919.67,ARS
analista2,CASO-00022,81521679716,2023-12-07,ES3981482411277200874691,ES9559341725171877761401,49436.65,ARS
analista3,CASO-00023,48783942112,2023-12-16,ES0641613838492271478041,ES2169341537124595785693,351242.01,USD
analista2,CASO-00024,61883330860,2023-12-26,ES6276590508129882310370,ES4431106415883004054019,239514.94,ARS
analista3,CASO-00025,39183414769,2023-12-27,ES9303917788746111469793,ES6811121059761936273994,104625.89,USD
analista1,CASO-00026,23794849396,2024-01-27,ES7448678317709322140297,ES6577676158710262356927,172567.88,ARS
analista2,CASO-00027,69963307434,2024-01-05,ES9696031827248002808026,ES2816530744973074589014,63703.82,USD
